Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
transcription coactivator binding (GO:0001223)	15-Jan	0.315544956	0.515906324	0.383101293	0.658687061	-0.254904588	0.294020746	FOXC1
single-stranded RNA binding (GO:0003727)	Feb-46	0.319112248	0.520143205	0.419791902	0.675979104	-0.657250617	0.750719781	IFIH1;DDX60
GTPase activity (GO:0003924)	7/223	0.322723025	0.524424916	0.528686097	0.702733984	-0.150110983	0.169769642	RAB32;GNG3;GCH1;RAB15;SEPT4;GBP1;GNAI1
ubiquitin-like protein ligase activity (GO:0061659)	6/187	0.324552158	0.525794226	0.513896334	0.701045603	0.41743913	-0.469748019	MYLIP;ANKIB1;ZNRF3;RNF216;UBR5;RFFL
"3',5'-cyclic-AMP phosphodiesterase activity (GO:0004115)"	16-Jan	0.332634927	0.527661953	0.401460751	0.662472384	-1.387979414	1.527762412	PDE8B
adrenergic receptor binding (GO:0031690)	16-Jan	0.332634927	0.527661953	0.401460751	0.662472384	-1.364871738	1.502327569	SLC9A3R1
protein disulfide oxidoreductase activity (GO:0015035)	16-Jan	0.332634927	0.527661953	0.401460751	0.662472384	-1.205577346	1.326990686	STAB1
phosphatidylinositol phosphate kinase activity (GO:0016307)	16-Jan	0.332634927	0.527661953	0.401460751	0.662472384	-1.088988482	1.198660192	PIK3C2A
intracellular ligand-gated ion channel activity (GO:0005217)	16-Jan	0.332634927	0.527661953	0.401460751	0.662472384	-1.044987676	1.150228078	ITPR3
protein transporter activity (GO:0008565)	Mar-81	0.329049181	0.527661953	0.457650016	0.692975735	-0.236059475	0.26239145	IPO13;AZGP1;LRP1
FK506 binding (GO:0005528)	16-Jan	0.332634927	0.527661953	0.401460751	0.662472384	-0.219968287	0.242121229	FKBP1A
"transcriptional repressor activity, RNA polymerase II transcription factor binding (GO:0001191)"	Feb-48	0.337472914	0.530599007	0.440280768	0.68818079	-0.545167534	0.592199151	HDAC1;ID1
protein phosphatase regulator activity (GO:0019888)	Feb-48	0.337472914	0.530599007	0.440280768	0.68818079	-0.281631567	0.30592793	RCAN3;PPP2R3A
RNA polymerase II activating transcription factor binding (GO:0001102)	Feb-48	0.337472914	0.530599007	0.440280768	0.68818079	-0.029459157	0.032000599	MEF2C;LMO2
RNA polymerase III activity (GO:0001056)	17-Jan	0.349299017	0.534991679	0.419275325	0.675979104	-1.277486796	1.34369503	POLR2E
protein transmembrane transporter activity (GO:0008320)	17-Jan	0.349299017	0.534991679	0.419275325	0.675979104	-1.268062513	1.333782316	AZGP1
peptidase activator activity (GO:0016504)	17-Jan	0.349299017	0.534991679	0.419275325	0.675979104	-1.086970914	1.143305292	PSME4
phosphatidic acid binding (GO:0070300)	17-Jan	0.349299017	0.534991679	0.419275325	0.675979104	-0.652929674	0.686769022	GSDMD
"proton-transporting ATPase activity, rotational mechanism (GO:0046961)"	17-Jan	0.349299017	0.534991679	0.419275325	0.675979104	-0.457543943	0.481257046	TCIRG1
ATP-dependent microtubule motor activity (GO:1990939)	Feb-49	0.346598034	0.534991679	0.450375842	0.688395852	-0.348324795	0.369081321	KIF16B;DNAH9
cytokine activity (GO:0005125)	5/156	0.349730994	0.534991679	0.524133756	0.702733984	-0.318148361	0.334243808	TGFB1;IL18;INHBB;BMP7;CXCL16
zinc ion binding (GO:0008270)	9/303	0.344989015	0.534991679	0.584318204	0.725232646	-0.018004995	0.019161685	IFIH1;CD4;ACE;GCH1;MT1G;LIMD1;SOD3;TP53;LIMS1
ubiquitin-protein transferase activity (GO:0004842)	12/418	0.351307857	0.534991679	0.630405586	0.744104583	0.074142621	-0.077560029	MYLIP;ANKIB1;ZNRF3;RNF13;RNF216;UBA7;UBR5;TNFAIP3;BIRC6;KLHL4;RFFL;TRIM21
nucleotidase activity (GO:0008252)	17-Jan	0.349299017	0.534991679	0.419275325	0.675979104	0.139452885	-0.146680301	NT5E
ubiquitin protein ligase activity (GO:0061630)	6/193	0.35107497	0.534991679	0.543967675	0.705498509	0.255092368	-0.267019336	MYLIP;ANKIB1;ZNRF3;RNF216;UBR5;RFFL
aspartic-type peptidase activity (GO:0070001)	18-Jan	0.365547818	0.545761868	0.436561143	0.68818079	-0.701581502	0.706042283	PSEN1
antiporter activity (GO:0015297)	18-Jan	0.365547818	0.545761868	0.436561143	0.68818079	-0.538408936	0.541832237	SLC7A7
histone deacetylase binding (GO:0042826)	Mar-86	0.363249162	0.545761868	0.495845027	0.698652783	-0.428898786	0.43433134	MEF2C;HDAC1;TP53
ligand-dependent nuclear receptor binding (GO:0016922)	18-Jan	0.365547818	0.545761868	0.436561143	0.68818079	-0.420650256	0.423324826	PROX1
"ATP-dependent microtubule motor activity, minus-end-directed (GO:0008569)"	18-Jan	0.365547818	0.545761868	0.436561143	0.68818079	-0.41925659	0.421922298	DNAH9
RNA cap binding (GO:0000339)	18-Jan	0.365547818	0.545761868	0.436561143	0.68818079	-0.265139629	0.266825435	CYFIP1
cholesterol transporter activity (GO:0017127)	18-Jan	0.365547818	0.545761868	0.436561143	0.68818079	-0.108015346	0.108702127	APOE
semaphorin receptor binding (GO:0030215)	19-Jan	0.381391659	0.549410147	0.453333854	0.688395852	-1.234510101	1.189979414	SEMA3F
fatty acid ligase activity (GO:0015645)	19-Jan	0.381391659	0.549410147	0.453333854	0.688395852	-1.071969584	1.033301985	ACSL1
lysine-acetylated histone binding (GO:0070577)	19-Jan	0.381391659	0.549410147	0.453333854	0.688395852	-0.545725765	0.526040594	PSME4
1-acylglycerol-3-phosphate O-acyltransferase activity (GO:0003841)	19-Jan	0.381391659	0.549410147	0.453333854	0.688395852	-0.419415655	0.404286684	LPCAT2
"oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor (GO:0016646)"	19-Jan	0.381391659	0.549410147	0.453333854	0.688395852	-0.406453175	0.391791781	MTHFD2
acetylation-dependent protein binding (GO:0140033)	19-Jan	0.381391659	0.549410147	0.453333854	0.688395852	-0.373160216	0.35969975	PSME4
microfilament motor activity (GO:0000146)	19-Jan	0.381391659	0.549410147	0.453333854	0.688395852	-0.210891099	0.203283932	MYH9
GDP binding (GO:0019003)	Feb-52	0.373707587	0.549410147	0.480028031	0.697354018	-0.202493233	0.199310372	GBP1;GNAI1
purine ribonucleoside binding (GO:0032550)	5/160	0.369542604	0.549410147	0.546041935	0.70640862	-0.131938928	0.131343783	RAB32;GCH1;SEPT4;GBP1;GNAI1
SUMO transferase activity (GO:0019789)	19-Jan	0.381391659	0.549410147	0.453333854	0.688395852	-0.131301062	0.12656483	HDAC7
nucleoside-triphosphatase activity (GO:0017111)	12/425	0.372390531	0.549410147	0.652477287	0.759324005	0.070860563	-0.069996926	RAB32;NSF;GNG3;ENTPD2;GCH1;RAB15;KIF16B;MYH9;ABCA7;SEPT4;GBP1;GNAI1
"transcriptional activator activity, RNA polymerase II distal enhancer sequence-specific binding (GO:0001205)"	19-Jan	0.381391659	0.549410147	0.453333854	0.688395852	0.260646509	-0.251244587	MEF2C
phosphatidylinositol kinase activity (GO:0052742)	Feb-52	0.373707587	0.549410147	0.480028031	0.697354018	0.595140632	-0.585785997	GAB1;PIK3C2A
intracellular calcium activated chloride channel activity (GO:0005229)	20-Jan	0.396840614	0.564042792	0.469608648	0.697354018	-0.748750316	0.692010433	ANO2
RNA polymerase binding (GO:0070063)	20-Jan	0.396840614	0.564042792	0.469608648	0.697354018	-0.25876776	0.239158483	BIN1
lysophospholipase activity (GO:0004622)	20-Jan	0.396840614	0.564042792	0.469608648	0.697354018	-0.161680099	0.149428071	GDPD1
intracellular chloride channel activity (GO:0061778)	20-Jan	0.396840614	0.564042792	0.469608648	0.697354018	-0.115816354	0.107039855	ANO2
insulin receptor binding (GO:0005158)	20-Jan	0.396840614	0.564042792	0.469608648	0.697354018	0.204717649	-0.189204259	SNX1
proteasome binding (GO:0070628)	21-Jan	0.411904504	0.57129151	0.485400264	0.697354018	-1.226546215	1.08790202	PSME4
K63-linked polyubiquitin modification-dependent protein binding (GO:0070530)	21-Jan	0.411904504	0.57129151	0.485400264	0.697354018	-1.220510705	1.082548742	TNFAIP3
"3',5'-cyclic-nucleotide phosphodiesterase activity (GO:0004114)"	21-Jan	0.411904504	0.57129151	0.485400264	0.697354018	-1.194820593	1.059762544	PDE8B
lysophosphatidic acid acyltransferase activity (GO:0042171)	21-Jan	0.411904504	0.57129151	0.485400264	0.697354018	-1.166592192	1.034724976	LPCAT2
"transcription factor activity, RNA polymerase II core promoter sequence-specific (GO:0000983)"	21-Jan	0.411904504	0.57129151	0.485400264	0.697354018	-1.116738468	0.990506531	MEF2C
ligand-gated calcium channel activity (GO:0099604)	21-Jan	0.411904504	0.57129151	0.485400264	0.697354018	-0.856844716	0.759990195	ITPR3
"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen (GO:0016702)"	22-Jan	0.42659291	0.57129151	0.500723008	0.698652783	-0.84515379	0.720007721	ALOX5
AU-rich element binding (GO:0017091)	22-Jan	0.42659291	0.57129151	0.500723008	0.698652783	-0.831977333	0.708782367	CPEB2
DNA polymerase activity (GO:0034061)	22-Jan	0.42659291	0.57129151	0.500723008	0.698652783	-0.786347073	0.669908804	CHRAC1
protein phosphatase 2A binding (GO:0051721)	21-Jan	0.411904504	0.57129151	0.485400264	0.697354018	-0.715701411	0.634801202	TP53
anion:anion antiporter activity (GO:0015301)	22-Jan	0.42659291	0.57129151	0.500723008	0.698652783	-0.743426657	0.633343824	SLC7A11
TBP-class protein binding (GO:0017025)	22-Jan	0.42659291	0.57129151	0.500723008	0.698652783	-0.700325185	0.596624599	HHEX
hydrogen-exporting ATPase activity (GO:0036442)	22-Jan	0.42659291	0.57129151	0.500723008	0.698652783	-0.487351141	0.415186666	TCIRG1
aspartic-type endopeptidase activity (GO:0004190)	22-Jan	0.42659291	0.57129151	0.500723008	0.698652783	-0.462446356	0.393969655	PSEN1
inward rectifier potassium channel activity (GO:0005242)	22-Jan	0.42659291	0.57129151	0.500723008	0.698652783	-0.270576098	0.230510568	ABCC8
ferrous iron binding (GO:0008198)	21-Jan	0.411904504	0.57129151	0.485400264	0.697354018	-0.222325378	0.197194549	HEPH
nuclear hormone receptor binding (GO:0035257)	Feb-57	0.417812623	0.57129151	0.52720151	0.702733984	-0.116914608	0.102033976	MED24;CRY1
DNA-directed DNA polymerase activity (GO:0003887)	21-Jan	0.411904504	0.57129151	0.485400264	0.697354018	-0.103530511	0.09182781	CHRAC1
"steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0033764)"	22-Jan	0.42659291	0.57129151	0.500723008	0.698652783	-0.078778778	0.067113618	HSD11B1
"transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747)"	Feb-57	0.417812623	0.57129151	0.52720151	0.702733984	0.133493693	-0.116502912	HHAT;SOAT1
chloride transmembrane transporter activity (GO:0015108)	Feb-57	0.417812623	0.57129151	0.52720151	0.702733984	0.373000449	-0.325525779	SLC1A4;SLC12A9
G-protein coupled amine receptor activity (GO:0008227)	Feb-57	0.417812623	0.57129151	0.52720151	0.702733984	0.60318117	-0.526409608	HRH3;HTR2A
guanyl ribonucleotide binding (GO:0032561)	5/171	0.423919137	0.57129151	0.603664245	0.73153153	0.684889049	-0.587780382	RAB32;GCH1;SEPT4;GBP1;GNAI1
G-protein coupled receptor binding (GO:0001664)	4/134	0.430395141	0.574938873	0.59047538	0.725232646	0.558164515	-0.470561465	ZNRF3;ACE;ITGB4;GNAI1
"ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism (GO:0015662)"	23-Jan	0.440915171	0.578291036	0.515590763	0.701045603	-0.999247987	0.818286952	ABCC4
fibroblast growth factor binding (GO:0017134)	23-Jan	0.440915171	0.578291036	0.515590763	0.701045603	-0.903447088	0.73983533	THBS1
Wnt-activated receptor activity (GO:0042813)	23-Jan	0.440915171	0.578291036	0.515590763	0.701045603	-0.858576044	0.703090307	FRZB
bHLH transcription factor binding (GO:0043425)	23-Jan	0.440915171	0.578291036	0.515590763	0.701045603	-0.836526154	0.685033591	LMO2
monocarboxylic acid binding (GO:0033293)	23-Jan	0.440915171	0.578291036	0.515590763	0.701045603	-0.559200933	0.457931197	PYGL
nuclease activity (GO:0004518)	Feb-60	0.443512438	0.578291036	0.554085853	0.711002671	-0.345076794	0.28055759	AZGP1;RNASET2
cation transmembrane transporter activity (GO:0008324)	Mar-98	0.443754285	0.578291036	0.581543985	0.725232646	-0.166543165	0.135313704	SLC1A4;SLC1A5;SLC38A5
phosphatidylinositol-4-phosphate binding (GO:0070273)	23-Jan	0.440915171	0.578291036	0.515590763	0.701045603	0.080595824	-0.066000144	GSDMD
"transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding (GO:0001078)"	Mar-98	0.443754285	0.578291036	0.581543985	0.725232646	0.147569815	-0.119898155	HHEX;PROX1;TBX2
histone acetyltransferase binding (GO:0035035)	23-Jan	0.440915171	0.578291036	0.515590763	0.701045603	0.241983727	-0.198161146	TP53
transcription regulatory region sequence-specific DNA binding (GO:0000976)	8/293	0.44831643	0.581485142	0.676184986	0.775067952	0.108310509	-0.086892753	LYL1;MEF2C;FOXC1;HHEX;HDAC1;LMO2;PROX1;TP53
"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding (GO:0001077)"	5/176	0.44838723	0.581485142	0.628441744	0.744104583	1.044746976	-0.837989531	MEF2C;AKNA;MYC;ELK3;NFKB2
disordered domain specific binding (GO:0097718)	24-Jan	0.454880398	0.584219884	0.530017001	0.702733984	-0.821619484	0.647206722	TP53
calcium-release channel activity (GO:0015278)	24-Jan	0.454880398	0.584219884	0.530017001	0.702733984	-0.731207012	0.575986941	ITPR3
ADP binding (GO:0043531)	24-Jan	0.454880398	0.584219884	0.530017001	0.702733984	0.077018372	-0.06066897	MYH9
nucleotide kinase activity (GO:0019201)	24-Jan	0.454880398	0.584219884	0.530017001	0.702733984	0.167889616	-0.132250135	MAGI3
protein-cysteine S-acyltransferase activity (GO:0019707)	25-Jan	0.468497472	0.58902884	0.544014797	0.705498509	-0.960956121	0.728620544	GOLGA7
"endoribonuclease activity, producing 5'-phosphomonoesters (GO:0016891)"	25-Jan	0.468497472	0.58902884	0.544014797	0.705498509	-0.741706222	0.562379884	DICER1
kinase activator activity (GO:0019209)	25-Jan	0.468497472	0.58902884	0.544014797	0.705498509	-0.713764969	0.541194139	NCKAP1L
protein-cysteine S-palmitoyltransferase activity (GO:0019706)	25-Jan	0.468497472	0.58902884	0.544014797	0.705498509	-0.709717937	0.538125579	GOLGA7
UDP-galactosyltransferase activity (GO:0035250)	25-Jan	0.468497472	0.58902884	0.544014797	0.705498509	-0.671579729	0.509208253	B4GALT1
ubiquitin binding (GO:0043130)	Feb-63	0.468570785	0.58902884	0.57987305	0.725232646	-0.039403189	0.029870301	RNF216;TNFAIP3
disulfide oxidoreductase activity (GO:0015036)	25-Jan	0.468497472	0.58902884	0.544014797	0.705498509	0.244553937	-0.185426805	STAB1
G-protein coupled serotonin receptor activity (GO:0004993)	25-Jan	0.468497472	0.58902884	0.544014797	0.705498509	0.334572799	-0.253681317	HTR2A
cysteine-type endopeptidase inhibitor activity involved in apoptotic process (GO:0043027)	25-Jan	0.468497472	0.58902884	0.544014797	0.705498509	0.733212857	-0.555940005	RPS6KA1
ion gated channel activity (GO:0022839)	26-Jan	0.481775057	0.59717699	0.557596841	0.711002671	-0.602100249	0.439700542	ANO2
transcription cofactor binding (GO:0001221)	26-Jan	0.481775057	0.59717699	0.557596841	0.711002671	-0.5859634	0.427916156	FOXC1
actin monomer binding (GO:0003785)	26-Jan	0.481775057	0.59717699	0.557596841	0.711002671	-0.524303947	0.382887617	PFN1
"ATPase activity, coupled to transmembrane movement of ions, rotational mechanism (GO:0044769)"	26-Jan	0.481775057	0.59717699	0.557596841	0.711002671	-0.446501475	0.326070187	TCIRG1
triglyceride lipase activity (GO:0004806)	26-Jan	0.481775057	0.59717699	0.557596841	0.711002671	0.401337497	-0.293087929	AOAH
mRNA 3'-UTR binding (GO:0003730)	Feb-64	0.476773225	0.59717699	0.588222598	0.725232646	1.183351295	-0.876525249	CPEB2;TP53
phosphatase activity (GO:0016791)	3/105	0.488869744	0.604565136	0.627082604	0.744104583	0.512180957	-0.366547012	PPP2R5A;LPIN1;PLPP3
ligand-dependent nuclear receptor transcription coactivator activity (GO:0030374)	Feb-66	0.492944264	0.606176121	0.604551172	0.73153153	-0.165439697	0.117025286	HELZ2;MED24
thyroid hormone receptor binding (GO:0046966)	27-Jan	0.4947216	0.606176121	0.570775447	0.720908325	0.213031595	-0.149923136	MED24
neuropeptide hormone activity (GO:0005184)	27-Jan	0.4947216	0.606176121	0.570775447	0.720908325	0.31453994	-0.221360659	CARTPT
RNA polymerase II transcription corepressor activity (GO:0001106)	27-Jan	0.4947216	0.606176121	0.570775447	0.720908325	0.639148487	-0.449807202	HDAC1
protein heterodimerization activity (GO:0046982)	7/266	0.496779425	0.607301453	0.707027932	0.790033307	1.081579857	-0.75668318	SNX1;MEF2C;HIP1;ITGAM;ITGB2;TP53;TLR2
cation channel activity (GO:0005261)	4/147	0.501349851	0.611486202	0.661057539	0.767633265	0.738317533	-0.509772165	ABCC8;SLC40A1;ABCC9;PSEN1
calmodulin-dependent protein kinase activity (GO:0004683)	28-Jan	0.507345338	0.615979647	0.583562564	0.725232646	-0.785769238	0.53319422	PHKA1
RNA polymerase II core promoter sequence-specific DNA binding (GO:0000979)	28-Jan	0.507345338	0.615979647	0.583562564	0.725232646	0.034019382	-0.023084306	IRF7
kinesin binding (GO:0019894)	29-Jan	0.519654305	0.619632538	0.595969791	0.725232646	-0.652083005	0.426847984	MAPK8IP2
metallocarboxypeptidase activity (GO:0004181)	29-Jan	0.519654305	0.619632538	0.595969791	0.725232646	-0.578037592	0.378378487	CPE
acylglycerol O-acyltransferase activity (GO:0016411)	29-Jan	0.519654305	0.619632538	0.595969791	0.725232646	-0.009720125	0.006362711	LPCAT2
palmitoyltransferase activity (GO:0016409)	29-Jan	0.519654305	0.619632538	0.595969791	0.725232646	0.053517964	-0.035032403	GOLGA7
RNA polymerase II repressing transcription factor binding (GO:0001103)	29-Jan	0.519654305	0.619632538	0.595969791	0.725232646	0.066102899	-0.043270395	HDAC1
nuclear localization sequence binding (GO:0008139)	29-Jan	0.519654305	0.619632538	0.595969791	0.725232646	0.351242756	-0.229920518	IPO13
inorganic anion exchanger activity (GO:0005452)	29-Jan	0.519654305	0.619632538	0.595969791	0.725232646	0.454266443	-0.297358947	SLC4A10
sterol transporter activity (GO:0015248)	29-Jan	0.519654305	0.619632538	0.595969791	0.725232646	0.477673187	-0.312680802	APOE
nucleosomal DNA binding (GO:0031492)	30-Jan	0.531656333	0.627490228	0.608008382	0.73153153	-0.734649582	0.464120743	HDAC1
WW domain binding (GO:0050699)	30-Jan	0.531656333	0.627490228	0.608008382	0.73153153	-0.575160613	0.363362312	ENAH
organic anion transmembrane transporter activity (GO:0008514)	Feb-71	0.531957244	0.627490228	0.643216136	0.751829387	-0.126789438	0.080028499	SLCO1C1;SLCO2B1
ubiquitin conjugating enzyme binding (GO:0031624)	30-Jan	0.531656333	0.627490228	0.608008382	0.73153153	0.495476414	-0.313021183	ANKIB1
endopeptidase inhibitor activity (GO:0004866)	3/112	0.53213055	0.627490228	0.669106006	0.773608462	0.953050597	-0.601247623	CST3;APP;BIRC6
Hsp90 protein binding (GO:0051879)	31-Jan	0.543359061	0.632337073	0.61968926	0.738913592	-0.363083236	0.221475299	GBP1
sodium ion transmembrane transporter activity (GO:0015081)	Feb-72	0.539510469	0.632337073	0.650582057	0.758775134	-0.067791467	0.041833645	SLC4A10;SLC4A4
sequence-specific double-stranded DNA binding (GO:1990837)	3/113	0.538141907	0.632337073	0.674818528	0.775067952	-0.013036815	0.008078041	MEF2C;HDAC1;ELK3
glutathione transferase activity (GO:0004364)	31-Jan	0.543359061	0.632337073	0.61968926	0.738913592	0.12490519	-0.076190283	MGST2
5'-3' RNA polymerase activity (GO:0034062)	31-Jan	0.543359061	0.632337073	0.61968926	0.738913592	0.916561302	-0.559088575	POLR2E
protein serine/threonine kinase inhibitor activity (GO:0030291)	31-Jan	0.543359061	0.632337073	0.61968926	0.738913592	1.276734138	-0.778788575	PRKAR2B
serotonin receptor activity (GO:0099589)	Jan-32	0.554769939	0.641415136	0.631023024	0.744104583	-0.745511825	0.43925689	HTR2A
"ATP-dependent microtubule motor activity, plus-end-directed (GO:0008574)"	Jan-32	0.554769939	0.641415136	0.631023024	0.744104583	0.249861843	-0.147219041	KIF16B
endonuclease activity (GO:0004519)	Feb-74	0.554362498	0.641415136	0.664951144	0.770476	0.481388629	-0.283988712	RNASET2;DICER1
ubiquitin-like protein-specific protease activity (GO:0019783)	Feb-75	0.561660408	0.647976185	0.671955723	0.774850951	-0.126631203	0.073048206	TNFAIP3;USP28
transition metal ion transmembrane transporter activity (GO:0046915)	Jan-33	0.565896232	0.648650949	0.64201996	0.751829387	-0.622076622	0.354175937	SLC40A1
estrogen receptor binding (GO:0030331)	Jan-33	0.565896232	0.648650949	0.64201996	0.751829387	-0.553362313	0.315053819	ZNF366
"hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)"	Jan-33	0.565896232	0.648650949	0.64201996	0.751829387	0.6500521	-0.370103623	HYAL2
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides (GO:0016811)"	Feb-76	0.568872442	0.648799652	0.678841373	0.775858967	-0.13109691	0.073951642	HDAC1;ASPA
"transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding (GO:0001227)"	4/160	0.56819147	0.648799652	0.722953172	0.799448217	1.049823284	-0.593461767	HHEX;ERF;PROX1;TBX2
RNA polymerase II regulatory region DNA binding (GO:0001012)	5/202	0.569677743	0.648799652	0.741322686	0.807001553	1.823647586	-1.026138123	LYL1;MEF2C;FOXC1;HHEX;LMO2
GTPase binding (GO:0051020)	Feb-77	0.575998335	0.653206623	0.685608955	0.775858967	0.734798893	-0.405352183	APLP2;WAS
thiol-dependent ubiquitin-specific protease activity (GO:0004843)	Feb-77	0.575998335	0.653206623	0.685608955	0.775858967	0.929335969	-0.51266866	TNFAIP3;USP28
ATPase activity (GO:0016887)	5/204	0.578446665	0.654590387	0.748860772	0.811265837	1.800640272	-0.985686568	NSF;KIF16B;MYH9;ABCA7;DNAH9
syntaxin binding (GO:0019905)	Feb-78	0.583037888	0.658388124	0.692259383	0.780108568	0.120487705	-0.065003491	NSF;SNPH
ubiquitin-like protein conjugating enzyme binding (GO:0044390)	Jan-36	0.597637552	0.673447812	0.673088162	0.774850951	-0.499090401	0.25691717	ANKIB1
peptidase inhibitor activity (GO:0030414)	Jan-37	0.607694597	0.680464749	0.682834705	0.775858967	-0.528465417	0.263219551	CST3
endopeptidase regulator activity (GO:0061135)	Jan-37	0.607694597	0.680464749	0.682834705	0.775858967	0.269391672	-0.134179366	CST3
DNA-directed 5'-3' RNA polymerase activity (GO:0003899)	Jan-37	0.607694597	0.680464749	0.682834705	0.775858967	0.68428796	-0.340832084	POLR2E
frizzled binding (GO:0005109)	Jan-38	0.617500759	0.689995606	0.692291468	0.780108568	-0.468677978	0.225937928	ZNRF3
divalent inorganic cation transmembrane transporter activity (GO:0072509)	Jan-39	0.627062281	0.694852798	0.701467043	0.785466248	-0.424104418	0.197933523	SLC40A1
ATPase regulator activity (GO:0060590)	Jan-39	0.627062281	0.694852798	0.701467043	0.785466248	-0.172384964	0.080453685	PFN1
peptidyl-prolyl cis-trans isomerase activity (GO:0003755)	Jan-39	0.627062281	0.694852798	0.701467043	0.785466248	0.597949596	-0.279068703	FKBP1A
hormone activity (GO:0005179)	Feb-84	0.623458532	0.694852798	0.729758719	0.801982262	0.88809853	-0.419602598	INHBB;CARTPT
RNA polymerase II transcription cofactor activity (GO:0001104)	Feb-85	0.629893088	0.696541527	0.735618399	0.805101862	0.107392678	-0.049637452	MED24;HDAC1
motor activity (GO:0003774)	Feb-86	0.636241753	0.70081269	0.741369742	0.807001553	0.270998551	-0.122539223	KIF16B;MYH9
sulfotransferase activity (GO:0008146)	Jan-40	0.636385257	0.70081269	0.710369768	0.792106875	1.221810347	-0.55219859	GAL3ST4
histone deacetylase activity (GO:0004407)	Jan-41	0.645475626	0.706444576	0.719007733	0.796738299	-0.287166834	0.125712402	HDAC1
hormone receptor binding (GO:0051427)	Jan-41	0.645475626	0.706444576	0.719007733	0.796738299	-0.161352989	0.070635148	CRY1
sodium channel activity (GO:0005272)	Jan-41	0.645475626	0.706444576	0.719007733	0.796738299	0.015652075	-0.006851975	ASIC2
"phosphotransferase activity, phosphate group as acceptor (GO:0016776)"	Jan-42	0.654339179	0.713216324	0.727388791	0.801029391	0.327580645	-0.138936595	MAGI3
pyrophosphatase activity (GO:0016462)	Jan-42	0.654339179	0.713216324	0.727388791	0.801029391	0.643995047	-0.273137258	ENTPD2
protein deacetylase activity (GO:0033558)	Jan-43	0.662981566	0.721161581	0.73552056	0.805101862	0.551046791	-0.226484691	HDAC1
lipase activity (GO:0016298)	Jan-44	0.671408293	0.727358984	0.743410437	0.807001553	-0.109902886	0.043782875	LIPA
polyubiquitin modification-dependent protein binding (GO:0031593)	Jan-44	0.671408293	0.727358984	0.743410437	0.807001553	1.472880663	-0.586763021	TNFAIP3
protein phosphatase binding (GO:0019903)	Feb-93	0.678305023	0.731855419	0.778702507	0.830920628	0.365379286	-0.141824968	LILRB1;TP53
thiol-dependent ubiquitinyl hydrolase activity (GO:0036459)	Feb-93	0.678305023	0.731855419	0.778702507	0.830920628	0.491723692	-0.190866586	TNFAIP3;USP28
hydro-lyase activity (GO:0016836)	Jan-46	0.687636121	0.740424348	0.758492998	0.820034013	0.108249739	-0.040539037	HADHA
"ATPase activity, coupled (GO:0042623)"	Feb-95	0.689571636	0.741011456	0.788467804	0.837158047	0.23173408	-0.08613201	MYH9;TTF2
damaged DNA binding (GO:0003684)	Jan-47	0.695447566	0.744324403	0.765699405	0.824480369	-0.306312155	0.111252471	TP53
chemokine activity (GO:0008009)	Jan-47	0.695447566	0.744324403	0.765699405	0.824480369	0.121179902	-0.044012499	CXCL16
calcium-dependent phospholipid binding (GO:0005544)	Jan-48	0.703064048	0.750968212	0.772691371	0.830331655	-0.24956161	0.087922373	ESYT2
inorganic anion transmembrane transporter activity (GO:0015103)	Jan-49	0.710490423	0.755871049	0.779475261	0.830920628	-0.178875196	0.061139508	SLC4A10
phospholipid transporter activity (GO:0005548)	Jan-49	0.710490423	0.755871049	0.779475261	0.830920628	1.258962682	-0.430313206	ATP9A
chemokine receptor binding (GO:0042379)	Jan-50	0.717731428	0.760538471	0.786057249	0.836264499	-0.229251014	0.076033354	CXCL16
double-stranded DNA binding (GO:0003690)	2/100	0.716320331	0.760538471	0.811239262	0.856218865	-0.13123677	0.043784238	CRY1;DDX60
potassium channel activity (GO:0005267)	2/101	0.721431959	0.761432147	0.815523075	0.857344771	0.101651255	-0.033190884	ABCC8;ABCC9
"transferase activity, transferring hexosyl groups (GO:0016758)"	2/101	0.721431959	0.761432147	0.815523075	0.857344771	0.341283396	-0.111434902	B4GALT1;TYMP
microtubule binding (GO:0008017)	4/196	0.724076758	0.761960483	0.850068408	0.879353417	0.342207592	-0.110484415	SUN2;MAP7D3;KIF16B;MAP1A
"transcriptional activator activity, RNA polymerase II transcription factor binding (GO:0001190)"	Jan-51	0.724791679	0.761960483	0.792443329	0.83970635	0.694055491	-0.223396338	LMO2
hydrogen ion transmembrane transporter activity (GO:0015078)	Jan-52	0.731675681	0.767683343	0.798639314	0.844592766	0.367000721	-0.114657603	TCIRG1
